# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FHVEC    = Vectorgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# 
STN,YYYYMMDD,FHVEC
  344,20170915,   31
  344,20170916,   21
  344,20170917,   14
  344,20170918,   23
  344,20170919,   13
  344,20170920,   35
  344,20170921,   31
  344,20170922,    7
  344,20170923,    9
  344,20170924,   23
  344,20170925,   25
  344,20170926,   20
  344,20170927,   21
  344,20170928,   26
  344,20170929,   28
  344,20170930,   19
  344,20171001,   62
  344,20171002,   70
  344,20171003,   47
  344,20171004,   61
  344,20171005,   74
  344,20171006,   48
  344,20171007,   52
  344,20171008,   17
  344,20171009,   29
  344,20171010,   54
  344,20171011,   81
  344,20171012,   50
  344,20171013,   54
  344,20171014,   39
  344,20171015,   34
  344,20171016,   46
  344,20171017,   32
  344,20171018,   21
  344,20171019,   34
  344,20171020,   69
  344,20171021,   69
  344,20171022,   54
  344,20171023,   39
  344,20171024,   68
  344,20171025,   51
  344,20171026,   29
  344,20171027,   40
  344,20171028,   71
  344,20171029,   63
  344,20171030,   11
  344,20171031,   42
  344,20171101,   44
  344,20171102,   20
  344,20171103,   20
  344,20171104,   31
  344,20171105,   32
  344,20171106,    9
  344,20171107,   17
  344,20171108,   14
  344,20171109,   35
  344,20171110,   58
  344,20171111,   32
  344,20171112,   25
  344,20171113,   33
  344,20171114,   45
  344,20171115,   31
  344,20171116,   26
  344,20171117,   15
  344,20171118,   51
  344,20171119,   45
  344,20171120,   52
  344,20171121,   63
  344,20171122,   81
  344,20171123,   76
  344,20171124,   11
  344,20171125,   28
  344,20171126,   49
  344,20171127,   62
  344,20171128,   40
  344,20171129,   12
  344,20171130,    8
  344,20171201,   11
  344,20171202,   30
  344,20171203,   22
  344,20171204,   29
  344,20171205,   40
  344,20171206,   58
  344,20171207,   74
  344,20171208,   65
  344,20171209,   53
  344,20171210,   28
  344,20171211,   49
  344,20171212,   30
  344,20171213,   64
  344,20171214,   57
  344,20171215,   28
  344,20171216,   31
  344,20171217,   35
  344,20171218,   45
  344,20171219,   31
  344,20171220,   19
  344,20171221,   19
  344,20171222,   20
  344,20171223,   64
  344,20171224,   78
  344,20171225,   78
  344,20171226,   69
  344,20171227,   27
  344,20171228,   51
  344,20171229,   50
  344,20171230,   76
  344,20171231,   84
  344,20180101,   59
  344,20180102,   48
  344,20180103,  106
  344,20180104,   72
  344,20180105,   50
  344,20180106,   11
  344,20180107,   72
  344,20180108,   60
  344,20180109,   23
  344,20180110,   38
  344,20180111,   13
  344,20180112,   12
  344,20180113,   33
  344,20180114,   34
  344,20180115,   72
  344,20180116,   70
  344,20180117,   83
  344,20180118,   74
  344,20180119,   43
  344,20180120,   25
  344,20180121,   22
  344,20180122,   37
  344,20180123,   62
  344,20180124,   83
  344,20180125,   51
  344,20180126,   22
  344,20180127,   59
  344,20180128,   75
  344,20180129,   76
  344,20180130,   29
  344,20180131,   72
  344,20180201,   48
  344,20180202,   37
  344,20180203,    5
  344,20180204,   51
  344,20180205,   52
  344,20180206,   34
  344,20180207,   11
  344,20180208,   34
  344,20180209,   52
  344,20180210,   39
  344,20180211,   65
  344,20180212,   46
  344,20180213,   58
  344,20180214,   68
  344,20180215,   43
  344,20180216,   24
  344,20180217,   19
  344,20180218,   24
  344,20180219,   30
  344,20180220,   23
  344,20180221,   26
  344,20180222,   49
  344,20180223,   54
  344,20180224,   75
  344,20180225,   64
  344,20180226,   50
  344,20180227,   40
  344,20180228,   73
  344,20180301,  104
  344,20180302,   90
  344,20180303,   54
  344,20180304,   31
  344,20180305,   39
  344,20180306,    6
  344,20180307,   18
  344,20180308,   63
  344,20180309,   25
  344,20180310,   43
  344,20180311,   12
  344,20180312,   40
  344,20180313,   35
  344,20180314,   39
  344,20180315,   64
  344,20180316,   52
  344,20180317,  100
  344,20180318,   87
  344,20180319,   60
  344,20180320,   49
  344,20180321,   27
  344,20180322,   39
  344,20180323,   53
  344,20180324,   13
  344,20180325,   24
  344,20180326,   21
  344,20180327,   26
  344,20180328,   21
  344,20180329,   28
  344,20180330,   39
  344,20180331,   19
  344,20180401,   18
  344,20180402,   41
  344,20180403,   53
  344,20180404,   52
  344,20180405,   48
  344,20180406,   53
  344,20180407,   30
  344,20180408,   14
  344,20180409,   33
  344,20180410,   16
  344,20180411,   18
  344,20180412,   31
  344,20180413,   18
  344,20180414,    6
  344,20180415,   18
  344,20180416,   36
  344,20180417,   42
  344,20180418,   19
  344,20180419,   19
  344,20180420,   19
  344,20180421,   24
  344,20180422,   24
  344,20180423,   51
  344,20180424,   65
  344,20180425,   70
  344,20180426,   65
  344,20180427,   20
  344,20180428,   37
  344,20180429,   39
  344,20180430,   15
  344,20180501,   58
  344,20180502,   54
  344,20180503,   17
  344,20180504,   20
  344,20180505,   32
  344,20180506,   28
  344,20180507,   25
  344,20180508,    8
  344,20180509,   23
  344,20180510,   28
  344,20180511,   25
  344,20180512,   31
  344,20180513,   32
  344,20180514,   32
  344,20180515,   25
  344,20180516,   49
  344,20180517,   49
  344,20180518,   32
  344,20180519,   14
  344,20180520,   20
  344,20180521,   35
  344,20180522,   22
  344,20180523,   32
  344,20180524,   33
  344,20180525,    7
  344,20180526,   34
  344,20180527,   38
  344,20180528,   25
  344,20180529,   17
  344,20180530,    3
  344,20180531,    9
  344,20180601,   25
  344,20180602,   31
  344,20180603,   14
  344,20180604,   28
  344,20180605,   34
  344,20180606,   23
  344,20180607,   17
  344,20180608,   19
  344,20180609,   28
  344,20180610,   34
  344,20180611,   43
  344,20180612,   33
  344,20180613,   25
  344,20180614,   48
  344,20180615,    7
  344,20180616,   44
  344,20180617,   58
  344,20180618,   62
  344,20180619,   34
  344,20180620,   42
  344,20180621,   63
  344,20180622,   52
  344,20180623,   27
  344,20180624,   29
  344,20180625,   30
  344,20180626,   30
  344,20180627,   41
  344,20180628,   32
  344,20180629,   35
  344,20180630,   40
  344,20180701,   62
